chrom	chrompos	abspos	C10_S10_R1_001	C100_S100_R1_001	C101_S101_R1_001	C103_S103_R1_001	C104_S104_R1_001	C105_S105_R1_001	C106_S106_R1_001	C107_S107_R1_001	C108_S108_R1_001	C109_S109_R1_001	C11_S11_R1_001	C110_S110_R1_001	C111_S111_R1_001	C112_S112_R1_001	C113_S113_R1_001	C114_S114_R1_001	C115_S115_R1_001	C116_S116_R1_001	C117_S117_R1_001	C118_S118_R1_001	C119_S119_R1_001	C120_S120_R1_001	C121_S121_R1_001	C122_S122_R1_001
1	7616468	7616468	0.797236475503603	210.597226973093	83.5504930228699	185.387941516761	119.781764710178	146.588336367549	148.928730600538	163.119556324634	271.830278324604	216.682193830737	58.8618788181325	181.975504852269	138.521566469859	77.0187323418103	129.84377390622	314.117775155473	133.224353873054	213.05097447906	257.849971201763	337.512683358181	185.398692743789	84.0943431897578	306.046906505097	172.188320239528
1	8179702	8179702	1.79482434067839	218.583461755406	99.4898207954725	190.444776291322	136.67000513402	138.69487909888	157.578883721924	143.492361822369	235.60410537734	198.795821255433	67.7274878753017	159.979467422609	147.736643412948	33.48744237064	120.694947494855	272.295901921289	125.676317184125	197.436875908877	270.963510912916	310.894143522534	179.03222331651	84.906593736524	338.908686031112	121.622313594969
1	8750760	8750760	0.63526879570889	269.918508802857	70.4788117483982	168.52931513962	116.758463300816	158.581626474875	142.809724471539	147.519623294674	303.249169625956	221.842852146411	66.0386537602699	159.965105314063	139.313217387806	81.2111807871686	115.178419333208	308.72282348629	157.467161090052	169.407384638851	283.267739387418	356.283038332244	174.512324271191	67.293479544535	321.674215570447	120.166596081307
1	9336763	9336763	2.41124666802365	236.251792813131	68.9538482454643	179.42248272609	137.326828823304	150.651572869895	164.210652398197	141.38859201543	326.007640431226	211.796198093278	76.4423243161467	183.101189215578	140.031437070739	88.962164669113	108.436681629634	271.263599843548	101.139019856546	193.403403166877	244.015470997938	364.799034637904	206.177012665813	71.1804859392518	303.886936831985	133.561563417787
1	9924955	9924955	0.381504330651247	252.243709899825	81.7404699257115	164.370852853849	153.666755509495	175.827846721063	169.04058442742	143.496395756417	168.837189088479	238.970251350876	66.3778043211344	165.907959062907	135.271609123235	91.4950578594697	123.448667832713	154.508266209792	141.204709151198	151.026931367239	281.674430243158	152.895171069965	195.673169774313	75.0942742497848	287.994895734198	156.112938894075
1	10539462	10539462	3.60564664861369	235.510451010419	65.4874844329833	137.541883053179	145.769289405639	133.646803765276	118.958843452269	156.513084817109	163.429206833347	228.221347768422	97.4811957329501	156.581936672973	157.590669395566	59.4891120915948	117.638442660549	147.755846060458	147.752558800476	168.005894133266	267.049733878162	192.98963972365	186.107584261952	68.0763745633233	215.833861060837	123.963970361709
1	11088816	11088816	2.81554838720879	220.216356729301	86.2793827679427	117.796469138261	139.543626703702	170.474939754462	150.671355717919	189.882408175613	178.337725640908	241.421571080291	29.3302534262398	188.762267741534	170.689892579581	63.2578775327164	127.409154033831	141.05753518192	133.746338106302	177.960544529864	266.404327720966	199.386456853286	211.439450060382	79.8947348862612	269.229841387901	145.338384981979
1	11659399	11659399	3.52725674163141	257.206030393512	93.5439607715799	183.385991666926	143.411531473544	137.075387151471	166.515776902608	151.283525874506	166.594959888871	227.886687122055	48.0849156501866	188.450508824106	162.883616458936	67.1842439470983	80.7330673862468	160.642874329378	135.97663398853	169.320467410175	313.548508341739	225.812928798826	187.450108644498	83.4041473847223	228.18715896513	152.700212634605
1	12236299	12236299	0.0370827916748987	244.531829991668	67.892680636114	169.774233069201	175.314395026781	153.811104642605	163.582599316873	157.50585153653	173.193363457417	250.222136976076	43.7208376057335	145.04687848254	164.769018294218	58.3468270117342	131.035688688962	156.296258682669	140.815503527203	184.433584656048	248.617514754207	206.549472655197	186.483798533525	71.179870901718	222.700991220675	166.157550840058
1	14208872	14208872	0.857007975494359	232.731737611424	72.3769433067723	162.22849471991	174.563970865828	170.29191244222	163.577752485227	148.349399377938	150.469758560969	245.045846425433	6.30887462251248	177.09824108289	189.440744266848	139.86034888184	80.0287892666983	150.801867283455	144.870806471117	190.982035919815	234.113817751673	212.136797521902	164.713848596725	85.3318375024264	160.521751080926	155.750354269443
